ID,DEPARTAMENTO,LOCALIDAD,COD. DPTO,CODIGO RED,IP_DESDE,IP_HASTA,SNA,DHCP,OBSERVACIONES
440,MONTEVIDEO - PERIFERIA,Edificio Uruguay,Y,42,10.38.66.15,10.38.66.249,,,Rango reservado
441,MONTEVIDEO - PERIFERIA,Edificio Uruguay,Y,43,10.38.67.5,10.38.67.249,,SI,Rango DHCP ( Edificio Candeau)  (Uruguay 1177)
442,MONTEVIDEO - PERIFERIA,Edificio Uruguay - Piso 2,Y,44,10.38.68.15,10.38.68.249,,,IP fija con emulación
443,MONTEVIDEO - PERIFERIA,Edificio Uruguay - Piso 2,Y,45,10.38.69.15,10.38.69.249,,,IP fija sin emulación
444,MONTEVIDEO - PERIFERIA,Edificio Uruguay - Piso 2,Y,46,10.38.70.15,10.38.70.249,,,Rango reservado
445,MONTEVIDEO - PERIFERIA,Edificio Uruguay - Piso 2,Y,47,10.38.71.15,10.38.71.249,,,Rango DHCP
446,MONTEVIDEO - PERIFERIA,Edificio Uruguay - Piso 3,Y,48,10.38.72.15,10.38.72.249,,,IP fija con emulación
447,MONTEVIDEO - PERIFERIA,Edificio Uruguay - Piso 3,Y,49,10.38.73.15,10.38.73.249,,,IP fija sin emulación
448,MONTEVIDEO - PERIFERIA,Edificio Uruguay - Piso 3,Y,4A,10.38.74.15,10.38.74.249,,,Rango reservado
449,MONTEVIDEO - PERIFERIA,Edificio Uruguay - Piso 3,Y,4B,10.38.75.15,10.38.75.249,,,Rango DHCP
450,MONTEVIDEO - PERIFERIA,Edificio Uruguay - Piso 4,Y,4C,10.38.76.15,10.38.76.249,,,IP fija con emulación
451,MONTEVIDEO - PERIFERIA,Edificio Uruguay - Piso 4,Y,4D,10.38.77.15,10.38.77.249,,,IP fija sin emulación
452,MONTEVIDEO - PERIFERIA,Edificio Uruguay - Piso 4,Y,4E,10.38.78.15,10.38.78.249,,,Rango reservado
453,MONTEVIDEO - PERIFERIA,Edificio Uruguay - Piso 4,Y,4F,10.38.79.15,10.38.79.249,,,Rango DHCP
454,MONTEVIDEO - PERIFERIA,Edificio Uruguay - Piso 5,Y,50,10.38.80.15,10.38.80.249,,,IP fija con emulación
455,MONTEVIDEO - PERIFERIA,Edificio Uruguay - Piso 5,Y,51,10.38.81.15,10.38.81.249,,,IP fija sin emulación
456,MONTEVIDEO - PERIFERIA,Edificio Uruguay - Piso 5,Y,52,10.38.82.15,10.38.82.249,,,Rango reservado
457,MONTEVIDEO - PERIFERIA,Edificio Uruguay - Piso 5,Y,53,10.38.83.15,10.38.83.249,,,Rango DHCP
509,MONTEVIDEO - PERIFERIA,Montevideo Shopping,Y,58,10.38.88.15,10.38.88.249,,,IP fija - Tienda y Local Montevideo Shopping
513,MONTEVIDEO - PERIFERIA,Montevideo Shopping,Y,59,10.38.89.15,10.38.89.50,,,IP fija con emulación
